CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,KMeans_Cluster
CUST-0001,323,2,360.94,1,1,2,4,112,Lost,1
CUST-0002,113,5,3211.33,2,3,3,8,233,At Risk,2
CUST-0003,5,1,530.96,5,1,2,8,512,New Customers,2
CUST-0004,4,22,60449.82,5,5,5,15,555,Champions,0
CUST-0005,21,1,207.52,4,1,1,6,411,New Customers,2
CUST-0006,139,3,1062.88,2,2,3,7,223,Need Attention,2
CUST-0007,21,11,6782.51,4,4,4,12,444,Champions,2
CUST-0008,10,25,66659.22,5,5,5,15,555,Champions,0
CUST-0009,16,1,422.37,4,1,2,7,412,New Customers,2
CUST-0010,6,19,40718.63,5,5,5,15,555,Champions,0
CUST-0011,235,1,171.75,1,1,1,3,111,Lost,1
CUST-0012,336,3,662.3,1,2,2,5,122,Lost,1
CUST-0013,31,13,6072.81,3,5,4,12,354,Loyal Customers,2
CUST-0014,101,7,3642.61,2,3,3,8,233,At Risk,2
CUST-0015,3,1,356.93,5,1,2,8,512,New Customers,2
CUST-0016,21,11,11704.99,4,4,5,13,445,Champions,2
CUST-0017,4,1,182.49,5,1,1,7,511,New Customers,2
CUST-0018,78,4,2192.72,2,3,3,8,233,At Risk,2
CUST-0019,1,25,67094.1,5,5,5,15,555,Champions,0
CUST-0020,14,2,549.18,4,1,2,7,412,New Customers,2
CUST-0021,35,7,3562.67,3,3,3,9,333,Loyal Customers,2
CUST-0022,76,7,4494.39,2,4,4,10,244,At Risk,2
CUST-0023,21,6,2848.05,4,3,3,10,433,Loyal Customers,2
CUST-0024,23,1,138.41,4,1,1,6,411,New Customers,2
CUST-0025,21,2,589.96,4,1,2,7,412,New Customers,2
CUST-0026,37,6,6040.12,3,3,4,10,334,Loyal Customers,2
CUST-0027,245,3,608.28,1,2,2,5,122,Lost,1
CUST-0028,10,24,50673.3,5,5,5,15,555,Champions,0
CUST-0029,78,3,1662.17,2,2,3,7,223,Need Attention,2
CUST-0030,2,26,67425.08,5,5,5,15,555,Champions,0
CUST-0031,12,27,71876.18,4,5,5,14,455,Champions,0
CUST-0032,11,10,7915.62,5,4,4,13,544,Champions,2
CUST-0033,67,3,659.96,2,2,2,6,222,Need Attention,2
CUST-0034,4,24,66196.45,5,5,5,15,555,Champions,0
CUST-0035,21,8,4598.64,4,4,4,12,444,Champions,2
CUST-0036,13,29,51015.28,4,5,5,14,455,Champions,0
CUST-0037,22,2,602.83,4,1,2,7,412,New Customers,2
CUST-0038,64,3,1560.52,3,2,3,8,323,Need Attention,2
CUST-0039,42,8,7075.56,3,4,4,11,344,Loyal Customers,2
CUST-0040,22,1,184.19,4,1,1,6,411,New Customers,2
CUST-0041,131,3,1147.4,2,2,3,7,223,Need Attention,2
CUST-0042,4,22,17722.25,5,5,5,15,555,Champions,0
CUST-0043,146,7,5146.82,2,4,4,10,244,At Risk,2
CUST-0044,198,3,473.72,1,2,2,5,122,Lost,1
CUST-0045,27,1,235.53,3,1,1,5,311,Need Attention,2
